"","algorithm","file_id","effect_size","p_value","mean","median"
"1","nsga3","activemq-5.0.0",0,NA,2,2
"2","DT","activemq-5.0.0",-1,2.89773150672166e-10,3,3
"3","DT_SMOTE","activemq-5.0.0",-1,2.89773150672166e-10,8,8
"4","nsga3","activemq-5.1.0",0,NA,2,2
"5","DT","activemq-5.1.0",-1,2.89773150672166e-10,3,3
"6","DT_SMOTE","activemq-5.1.0",-1,3.73198071593475e-10,9.6,10
"7","nsga3","activemq-5.2.0",0,NA,2,2
"8","DT","activemq-5.2.0",-1,1.59379116880663e-05,3,3
"9","DT_SMOTE","activemq-5.2.0",-1,1.59379116880663e-05,8,8
"10","nsga3","activemq-5.3.0",0,NA,2,2
"11","DT","activemq-5.3.0",-1,1.59379116880663e-05,5,5
"12","DT_SMOTE","activemq-5.3.0",-1,1.59379116880663e-05,9,9
"13","nsga3","groovy-1_5_7",0,NA,2,2
"14","DT","groovy-1_5_7",-0.1,0.167546277488617,2.1,2
"15","DT_SMOTE","groovy-1_5_7",-1,5.00469513679344e-08,8,8
"16","nsga3","groovy-1_6_BETA_1",0,NA,2,2
"17","DT","groovy-1_6_BETA_1",-1,2.89773150672166e-10,3,3
"18","DT_SMOTE","groovy-1_6_BETA_1",-1,4.0339029146775e-10,11.1,12
"19","nsga3","hbase-0.94.0",0,NA,2,2
"20","DT","hbase-0.94.0",0,NA,2,2
"21","DT_SMOTE","hbase-0.94.0",-1,1.59379116880663e-05,10,10
"22","nsga3","hbase-0.95.0",0,NA,2,2
"23","DT","hbase-0.95.0",-1,3.28993680586492e-05,4.6,4
"24","DT_SMOTE","hbase-0.95.0",-1,1.59379116880663e-05,9,9
"25","nsga3","hive-0.10.0",0,NA,2,2
"26","DT","hive-0.10.0",0,NA,2,2
"27","DT_SMOTE","hive-0.10.0",-1,2.89773150672166e-10,10,10
"28","nsga3","hive-0.9.0",0,NA,2,2
"29","DT","hive-0.9.0",-1,2.89773150672166e-10,5,5
"30","DT_SMOTE","hive-0.9.0",-1,3.73198071593475e-10,10.8,10
"31","nsga3","jruby-1.1",0,NA,2,2
"32","DT","jruby-1.1",-1,2.89773150672166e-10,3,3
"33","DT_SMOTE","jruby-1.1",-1,2.89773150672166e-10,5,5
"34","nsga3","jruby-1.4.0",0,NA,2,2
"35","DT","jruby-1.4.0",0,NA,2,2
"36","DT_SMOTE","jruby-1.4.0",-1,4.0339029146775e-10,8.5,10
"37","nsga3","jruby-1.5.0",0,NA,2,2
"38","DT","jruby-1.5.0",-1,2.89773150672166e-10,3,3
"39","DT_SMOTE","jruby-1.5.0",-1,3.34349393530113e-10,5.5,5
"40","nsga3","lucene-2.3.0",-2.78097857242532e-18,1,2.1,2
"41","DT","lucene-2.3.0",-0.9,9.66051900821123e-05,3,3
"42","DT_SMOTE","lucene-2.3.0",-1,2.42817473247548e-05,9,9
"43","nsga3","lucene-2.9.0",0,NA,2,2
"44","DT","lucene-2.9.0",-1,2.89773150672166e-10,3,3
"45","DT_SMOTE","lucene-2.9.0",-1,4.0339029146775e-10,10.3,10
"46","nsga3","lucene-3.0.0",0,NA,2,2
"47","DT","lucene-3.0.0",-1,2.89773150672166e-10,3,3
"48","DT_SMOTE","lucene-3.0.0",-1,2.89773150672166e-10,10,10
"49","nsga3","wicket-1.3.0-beta2",1.79068229778251e-18,1,2.03225806451613,2
"50","DT","wicket-1.3.0-beta2",-0.0709677419354839,0.393183966454937,2.3,2
"51","DT_SMOTE","wicket-1.3.0-beta2",-1,1.63521839939016e-09,11.5,11.5
"52","nsga3","wicket-1.3.0-incubating-beta-1",0,NA,2,2
"53","DT","wicket-1.3.0-incubating-beta-1",-1,2.89773150672166e-10,3,3
"54","DT_SMOTE","wicket-1.3.0-incubating-beta-1",-1,2.89773150672166e-10,9,9
"55","nsga3","all",1.61773732734293e-19,1,2.00451467268623,2
"56","DT","all",-0.756410835214447,1.35356660208956e-94,3.15,3
"57","DT_SMOTE","all",-1,7.14222277615472e-135,8.615,9
