"","algorithm","file_id","effect_size","p_value","mean","median"
"1","nsga3","activemq-5.0.0",-8.96827555095469e-18,1,6.83870967741935,7
"2","DT","activemq-5.0.0",-1,4.96413482206739e-08,14,14
"3","DT_SMOTE","activemq-5.0.0",-1,3.94816659394612e-08,39,39
"4","nsga3","activemq-5.1.0",-1.79221242181626e-18,1,6.96774193548387,7
"5","DT","activemq-5.1.0",-1,1.16167896888957e-09,11,11
"6","DT_SMOTE","activemq-5.1.0",-1,1.77186587666325e-09,54,54
"7","nsga3","activemq-5.2.0",0,NA,7,7
"8","DT","activemq-5.2.0",-1,1.59379116880663e-05,13,13
"9","DT_SMOTE","activemq-5.2.0",-1,1.59379116880663e-05,45,45
"10","nsga3","activemq-5.3.0",0,NA,7,7
"11","DT","activemq-5.3.0",-1,1.59379116880663e-05,31,31
"12","DT_SMOTE","activemq-5.3.0",-1,1.59379116880663e-05,51,51
"13","nsga3","groovy-1_5_7",0,NA,7,7
"14","DT","groovy-1_5_7",0.8,1.51911330635661e-05,5.6,5
"15","DT_SMOTE","groovy-1_5_7",-1,5.00469513679344e-08,37,37
"16","nsga3","groovy-1_6_BETA_1",3.65481054918501e-18,1,6.70967741935484,7
"17","DT","groovy-1_6_BETA_1",-0.290322580645161,0.059587268281325,7,7
"18","DT_SMOTE","groovy-1_6_BETA_1",-1,2.62906865406321e-07,39.2,41
"19","nsga3","hbase-0.94.0",0,1,6.8,7
"20","DT","hbase-0.94.0",-0.2,0.167488755574855,7,7
"21","DT_SMOTE","hbase-0.94.0",-1,8.17125384785596e-05,84.2,85
"22","nsga3","hbase-0.95.0",0,1,6.8,7
"23","DT","hbase-0.95.0",-1,6.15821864574984e-05,14.2,13
"24","DT_SMOTE","hbase-0.95.0",-1,3.28993680586492e-05,57,57
"25","nsga3","hive-0.10.0",-3.6233337119193e-18,1,6.87096774193548,7
"26","DT","hive-0.10.0",1,2.03979539373694e-08,5,5
"27","DT_SMOTE","hive-0.10.0",-1,2.03979539373694e-08,57,57
"28","nsga3","hive-0.9.0",-7.21868801293575e-18,1,6.74193548387097,7
"29","DT","hive-0.9.0",-1,1.62750872184541e-07,19,19
"30","DT_SMOTE","hive-0.9.0",-1,1.83906286563918e-07,65.8,63
"31","nsga3","jruby-1.1",-7.26065712929002e-18,1,6.58064516129032,7
"32","DT","jruby-1.1",-1,4.90249057877393e-07,15,15
"33","DT_SMOTE","jruby-1.1",-1,5.76618150421166e-07,42,42
"34","nsga3","jruby-1.4.0",-7.21868801293575e-18,1,6.74193548387097,7
"35","DT","jruby-1.4.0",1,1.62750872184541e-07,5,5
"36","DT_SMOTE","jruby-1.4.0",-1,2.05232722407789e-07,90.8,109
"37","nsga3","jruby-1.5.0",0,1,6.7741935483871,7
"38","DT","jruby-1.5.0",-1,1.09917792476051e-07,15,15
"39","DT_SMOTE","jruby-1.5.0",-1,1.18218090889426e-07,35.4,31
"40","nsga3","lucene-2.3.0",2.21719344273286e-17,1,6.8,7
"41","DT","lucene-2.3.0",-1,4.76822916101171e-05,11,11
"42","DT_SMOTE","lucene-2.3.0",-1,4.76822916101171e-05,25,25
"43","nsga3","lucene-2.9.0",-1.06811401121636e-17,1,6.61290322580645,7
"44","DT","lucene-2.9.0",-1,4.33360810221688e-07,15,15
"45","DT_SMOTE","lucene-2.9.0",-1,5.2816036236307e-07,59.2,59
"46","nsga3","lucene-3.0.0",-7.21868801293575e-18,1,6.74193548387097,7
"47","DT","lucene-3.0.0",-1,1.62750872184541e-07,11,11
"48","DT_SMOTE","lucene-3.0.0",-1,1.9098438901276e-07,76.4,77
"49","nsga3","wicket-1.3.0-beta2",7.14873948567862e-18,1,6.83870967741935,7
"50","DT","wicket-1.3.0-beta2",0.8,2.35121284213253e-05,9,5
"51","DT_SMOTE","wicket-1.3.0-beta2",-1,1.38842868282223e-07,86,86
"52","nsga3","wicket-1.3.0-incubating-beta-1",1.79540382337237e-17,1,6.64516129032258,7
"53","DT","wicket-1.3.0-incubating-beta-1",-1,3.66324682779923e-07,9,9
"54","DT_SMOTE","wicket-1.3.0-incubating-beta-1",-1,3.66324682779923e-07,55,55
"55","nsga3","all",-6.38333206834468e-18,1,6.78103837471783,7
"56","DT","all",-0.541896162528217,4.06463055281563e-34,13.04,13
"57","DT_SMOTE","all",-1,3.89414832824046e-108,52.95,51
