"","algorithm","file_id","effect_size","p_value","mean","median"
"1","nsga3","activemq-5.0.0",-5.48046711059608e-18,1,0.606552688817916,0.702558705770196
"2","DFDP","activemq-5.0.0",0.483870967741935,0.00108263510382558,0.559307551521025,0.563175207073562
"3","RF","activemq-5.0.0",0.483870967741935,0.0234222182140988,0.435491773333012,0.431192014446864
"4","LR","activemq-5.0.0",0.483870967741935,0.0224415961481735,0.639400858062927,0.639400858062927
"5","DT","activemq-5.0.0",0.483870967741935,0.0230715337460431,0.498607562991578,0.463882307900691
"6","NB","activemq-5.0.0",0.419354838709677,0.0481103903131605,0.665299936833002,0.665299936833002
"7","FFT","activemq-5.0.0",0.483870967741935,0.0224415961481735,0.485143876,0.485143876
"8","nsga3","activemq-5.1.0",1.82915398777393e-18,1,0.730665803498001,0.72522179699119
"9","DFDP","activemq-5.1.0",1,1.39118465216869e-11,0.448535313876819,0.449172318497637
"10","RF","activemq-5.1.0",1,2.6882890720216e-06,0.359931475030284,0.360632101786885
"11","LR","activemq-5.1.0",1,2.29482375090894e-06,0.404996885776495,0.404996885776495
"12","DT","activemq-5.1.0",1,2.60594509102823e-06,0.354247718840466,0.354247718840466
"13","NB","activemq-5.1.0",1,2.29482375090894e-06,0.652674510771698,0.652674510771698
"14","FFT","activemq-5.1.0",1,2.29482375090894e-06,0.713356787,0.713356787
"15","nsga3","activemq-5.2.0",0,1,0.757010818629744,0.757669079828094
"16","DFDP","activemq-5.2.0",1,7.03063685511923e-12,0.618747820445175,0.621620063465272
"17","RF","activemq-5.2.0",1,7.7133351936688e-07,0.572468061902876,0.579385519042241
"18","LR","activemq-5.2.0",1,6.28000704045137e-07,0,0
"19","DT","activemq-5.2.0",1,6.28000704045137e-07,0.526348409823452,0.526348409823452
"20","NB","activemq-5.2.0",1,6.28000704045137e-07,0.718438908578086,0.718438908578086
"21","FFT","activemq-5.2.0",1,6.28000704045137e-07,0.739044202,0.739044202
"22","nsga3","activemq-5.3.0",0,1,0.263189386317605,0
"23","DFDP","activemq-5.3.0",-0.555555555555556,0.0125499812095351,0.612221965706373,0.612951159980927
"24","RF","activemq-5.3.0",-0.555555555555556,0.043570597098054,0.582629676384235,0.581132754856883
"25","LR","activemq-5.3.0",-0.555555555555556,0.0288446936879702,0.644466466716217,0.644466466716217
"26","DT","activemq-5.3.0",-0.555555555555556,0.0288446936879702,0.620381023525905,0.620381023525905
"27","NB","activemq-5.3.0",-1,7.19426615040365e-05,0.753317267149019,0.753317267149019
"28","FFT","activemq-5.3.0",-1,7.19426615040365e-05,0.740275289,0.740275289
"29","nsga3","derby-10.2.1.6",-5.32549781389904e-18,1,0.678979262389635,0.731443353915545
"30","DFDP","derby-10.2.1.6",-0.883256528417819,7.22225097769446e-08,0.739683920108946,0.73947652976469
"31","RF","derby-10.2.1.6",0.619047619047619,0.00498386724477869,0.693878625715395,0.692815423741988
"32","LR","derby-10.2.1.6",0.619047619047619,0.00424974989498291,0.617879997565164,0.617879997565164
"33","DT","derby-10.2.1.6",0.619047619047619,0.00424974989498291,0.673010402135031,0.673010402135031
"34","NB","derby-10.2.1.6",1,3.62101436637653e-06,0.121942122522039,0.121942122522039
"35","FFT","derby-10.2.1.6",0.619047619047619,0.00424974989498291,0.717031497,0.717031497
"36","nsga3","derby-10.3.1.4",7.21169316021003e-18,1,0.658879929566402,0.660587172439003
"37","DFDP","derby-10.3.1.4",-0.423517169614984,0.00426145265771914,0.68085328217011,0.679013456495496
"38","RF","derby-10.3.1.4",0.574193548387097,0.00720230888653203,0.631772683095126,0.624839428119629
"39","LR","derby-10.3.1.4",-0.290322580645161,0.17348728921803,0.669605117628356,0.669605117628356
"40","DT","derby-10.3.1.4",0.935483870967742,9.88388122675086e-06,0.58700079449314,0.58700079449314
"41","NB","derby-10.3.1.4",1,2.29482375090894e-06,0.144245513870284,0.144245513870284
"42","FFT","derby-10.3.1.4",1,2.29482375090894e-06,0.525272497,0.525272497
"43","nsga3","groovy-1_5_7",0,1,0.654189673594678,0.642363431408009
"44","DFDP","groovy-1_5_7",1,1.32246894762122e-09,0.386437987292286,0.393764407963067
"45","RF","groovy-1_5_7",1,7.08009493150933e-06,0,0
"46","LR","groovy-1_5_7",1,7.08009493150933e-06,0.395355381748012,0.395355381748012
"47","DT","groovy-1_5_7",1,9.57062333847171e-06,0.491871655846058,0.497549635814273
"48","NB","groovy-1_5_7",1,7.08009493150933e-06,0.55852124112951,0.55852124112951
"49","FFT","groovy-1_5_7",0.333333333333333,0.138137504295785,0.629773005,0.629773005
"50","nsga3","groovy-1_6_BETA_1",-8.85898097711543e-18,1,0.73280985510597,0.73612756614769
"51","DFDP","groovy-1_6_BETA_1",1,1.34214078848702e-11,0.503226005533001,0.522721737247393
"52","RF","groovy-1_6_BETA_1",1,2.52570416737701e-06,0.348814530787517,0.324442842261525
"53","LR","groovy-1_6_BETA_1",1,2.14343031036494e-06,0.34091442034775,0.34091442034775
"54","DT","groovy-1_6_BETA_1",1,2.14343031036494e-06,0,0
"55","NB","groovy-1_6_BETA_1",1,2.14343031036494e-06,0.0349476642880046,0.0349476642880046
"56","FFT","groovy-1_6_BETA_1",0.935483870967742,9.30816254104456e-06,0.675735178,0.675735178
"57","nsga3","hbase-0.94.0",-8.85898097711543e-18,1,0.630947986370287,0.640731497570498
"58","DFDP","hbase-0.94.0",1,1.30929830729496e-11,0.507981220697957,0.511651158321946
"59","RF","hbase-0.94.0",1,2.42520729628487e-06,0.496701517540917,0.496405393277442
"60","LR","hbase-0.94.0",1,2.04719362478033e-06,0.388993886352705,0.388993886352705
"61","DT","hbase-0.94.0",1,2.04719362478033e-06,0.492012960671533,0.492012960671533
"62","NB","hbase-0.94.0",1,2.04719362478033e-06,0.125260368620924,0.125260368620924
"63","FFT","hbase-0.94.0",0.161290322580645,0.451430980673655,0.619805769,0.619805769
"64","nsga3","hbase-0.95.0",3.66880025463643e-18,1,0.640175281847744,0.639825755206398
"65","DFDP","hbase-0.95.0",1,1.39773686073845e-11,0.555447121192959,0.558431998929714
"66","RF","hbase-0.95.0",0.941935483870968,9.23147266083421e-06,0.101751011997436,0
"67","LR","hbase-0.95.0",1,2.29482375090894e-06,0.443416743674512,0.443416743674512
"68","DT","hbase-0.95.0",1,2.67486378788587e-06,0.421925022917343,0.422134912373917
"69","NB","hbase-0.95.0",1,2.29482375090894e-06,0.111249204770684,0.111249204770684
"70","FFT","hbase-0.95.0",-0.290322580645161,0.17348728921803,0.651795023,0.651795023
"71","nsga3","hive-0.10.0",-1.82915398777393e-18,1,0.711734669900502,0.716141437657072
"72","DFDP","hive-0.10.0",0.879292403746098,2.76622593102404e-09,0.684212304539732,0.690733953810772
"73","RF","hive-0.10.0",1,2.50279633222891e-06,0.188206561936214,0
"74","LR","hive-0.10.0",1,2.19067141966933e-06,0.399016498622586,0.399016498622586
"75","DT","hive-0.10.0",1,2.19067141966933e-06,0,0
"76","NB","hive-0.10.0",1,2.19067141966933e-06,0.0683788363565433,0.0683788363565433
"77","FFT","hive-0.10.0",0.354838709677419,0.0948657289084725,0.713870499,0.713870499
"78","nsga3","hive-0.9.0",3.66880025463643e-18,1,0.758427640447138,0.762361993575595
"79","DFDP","hive-0.9.0",1,1.3887348290312e-11,0.658706579313727,0.658975382630713
"80","RF","hive-0.9.0",1,2.68291227098959e-06,0.611740597859355,0.612620089534383
"81","LR","hive-0.9.0",1,2.26899188578855e-06,0.55511108658048,0.55511108658048
"82","DT","hive-0.9.0",1,2.26899188578855e-06,0.652256431507969,0.652256431507969
"83","NB","hive-0.9.0",1,2.26899188578855e-06,0.41925540182574,0.41925540182574
"84","FFT","hive-0.9.0",0.67741935483871,0.00138476528698775,0.741965194,0.741965194
"85","nsga3","jruby-1.1",3.66880025463643e-18,1,0.600088455483856,0.613139339484966
