"","algorithm","file_id","effect_size","p_value","mean","median"
"1","nsga3","activemq-5.0.0",-5.48046711059608e-18,1,0.606552688817916,0.702558705770196
"2","DFDP","activemq-5.0.0",0.483870967741935,0.00108263510382558,0.542668181618629,0.546483382355166
"3","RF","activemq-5.0.0",0.458064516129032,0.031984922790689,0.638873746450743,0.639812613154463
"4","LR","activemq-5.0.0",0.483870967741935,0.0224415961481735,0.354709514603933,0.354709514603933
"5","DT","activemq-5.0.0",0.754838709677419,0.00038390717049126,0.334626168509323,0.336526649668954
"6","NB","activemq-5.0.0",0.290322580645161,0.172706935163012,0.694843824868381,0.694843824868381
"7","FFT","activemq-5.0.0",0.483870967741935,0.0224415961481735,0.345067323,0.345067323
"8","nsga3","activemq-5.1.0",1.82915398777393e-18,1,0.730665803498001,0.72522179699119
"9","DFDP","activemq-5.1.0",1,1.39691629322029e-11,0.533934813847458,0.532815528012878
"10","RF","activemq-5.1.0",1,2.70988568946211e-06,0.532185460843211,0.53326710923376
"11","LR","activemq-5.1.0",1,2.29482375090894e-06,0.447031891625386,0.447031891625386
"12","DT","activemq-5.1.0",1,2.68559955598864e-06,0.616412703860879,0.616068800454395
"13","NB","activemq-5.1.0",1,2.29482375090894e-06,0.687062475085872,0.687062475085872
"14","FFT","activemq-5.1.0",-1,2.29482375090894e-06,0.792556628,0.792556628
"15","nsga3","activemq-5.2.0",0,1,0.757010818629744,0.757669079828094
"16","DFDP","activemq-5.2.0",1,7.02626500730749e-12,0.667264596137157,0.665836372479772
"17","RF","activemq-5.2.0",1,7.7133351936688e-07,0.668209705094358,0.668817993138198
"18","LR","activemq-5.2.0",1,6.28000704045137e-07,0.648813457473756,0.648813457473756
"19","DT","activemq-5.2.0",1,6.28000704045137e-07,0.67447896493406,0.67447896493406
"20","NB","activemq-5.2.0",1,6.28000704045137e-07,0.0716580619323199,0.0716580619323199
"21","FFT","activemq-5.2.0",1,6.28000704045137e-07,0.662087163,0.662087163
"22","nsga3","activemq-5.3.0",0,1,0.263189386317605,0
"23","DFDP","activemq-5.3.0",-0.584229390681004,0.00864029846844555,0.672344839727802,0.674738124417311
"24","RF","activemq-5.3.0",-0.577777777777778,0.0356783870633585,0.664566173536617,0.661967059673997
"25","LR","activemq-5.3.0",-0.555555555555556,0.0288446936879702,0.665533420165431,0.665533420165431
"26","DT","activemq-5.3.0",-0.555555555555556,0.0416110390238943,0.624963358665033,0.623927841686453
"27","NB","activemq-5.3.0",-1,7.19426615040365e-05,0.76913879306411,0.76913879306411
"28","FFT","activemq-5.3.0",0.444444444444444,0.0256036805704259,0,0
"29","nsga3","derby-10.2.1.6",-5.32549781389904e-18,1,0.678979262389635,0.731443353915545
"30","DFDP","derby-10.2.1.6",0.619047619047619,0.000162151056218466,0.578639946789153,0.576421384628975
"31","RF","derby-10.2.1.6",0.571428571428571,0.0095866016563678,0.658901314169118,0.653067702800364
"32","LR","derby-10.2.1.6",1,3.62101436637653e-06,0,0
"33","DT","derby-10.2.1.6",0.619047619047619,0.00424974989498291,0.476186447148335,0.476186447148335
"34","NB","derby-10.2.1.6",1,3.62101436637653e-06,0.127893977065763,0.127893977065763
"35","FFT","derby-10.2.1.6",0.619047619047619,0.00424974989498291,0.472141823,0.472141823
"36","nsga3","derby-10.3.1.4",7.21169316021003e-18,1,0.658879929566402,0.660587172439003
"37","DFDP","derby-10.3.1.4",-0.550468262226847,0.000201620447249529,0.691850317637179,0.692785849660039
"38","RF","derby-10.3.1.4",-0.541935483870968,0.011228208382237,0.69195143378259,0.69194262879026
"39","LR","derby-10.3.1.4",1,2.29482375090894e-06,0.103762134394115,0.103762134394115
"40","DT","derby-10.3.1.4",-0.483870967741935,0.0226868109166973,0.684413729703067,0.684413729703067
"41","NB","derby-10.3.1.4",1,2.29482375090894e-06,0.144245513870284,0.144245513870284
"42","FFT","derby-10.3.1.4",1,2.29482375090894e-06,0.525272497,0.525272497
"43","nsga3","groovy-1_5_7",0,1,0.654189673594678,0.642363431408009
"44","DFDP","groovy-1_5_7",1,1.32033786698515e-09,0.457464740388544,0.457640731355531
"45","RF","groovy-1_5_7",1,9.83198485945862e-06,0.446205905578599,0.44332600803562
"46","LR","groovy-1_5_7",1,7.08009493150933e-06,0.373662092445055,0.373662092445055
"47","DT","groovy-1_5_7",1,9.33438313149224e-06,0.54933632636422,0.545094156396879
"48","NB","groovy-1_5_7",1,7.08009493150933e-06,0.599600399556073,0.599600399556073
"49","FFT","groovy-1_5_7",-1,7.08009493150933e-06,0.787420114,0.787420114
"50","nsga3","groovy-1_6_BETA_1",-8.85898097711543e-18,1,0.73280985510597,0.73612756614769
"51","DFDP","groovy-1_6_BETA_1",1,1.33268112124013e-11,0.630543227437732,0.633854680603512
"52","RF","groovy-1_6_BETA_1",1,2.52826018794413e-06,0.649702658641035,0.653786023611012
"53","LR","groovy-1_6_BETA_1",0.548387096774194,0.00953910240627579,0.728991858497117,0.728991858497117
"54","DT","groovy-1_6_BETA_1",0.870967741935484,4.14608982591434e-05,0.693484430110902,0.693585682905152
"55","NB","groovy-1_6_BETA_1",1,2.14343031036494e-06,0.0349476642880046,0.0349476642880046
"56","FFT","groovy-1_6_BETA_1",0.935483870967742,9.30816254104456e-06,0.675253026,0.675253026
"57","nsga3","hbase-0.94.0",-8.85898097711543e-18,1,0.630947986370287,0.640731497570498
"58","DFDP","hbase-0.94.0",1,1.30852538765048e-11,0.567506585911181,0.570470699587692
"59","RF","hbase-0.94.0",1,2.4276786056869e-06,0.574103285532548,0.574237866304288
"60","LR","hbase-0.94.0",1,2.04719362478033e-06,0.169183841492752,0.169183841492752
"61","DT","hbase-0.94.0",1,2.29010895324257e-06,0.554240318527736,0.556151106892164
"62","NB","hbase-0.94.0",1,2.04719362478033e-06,0.130554089099403,0.130554089099403
"63","FFT","hbase-0.94.0",0.161290322580645,0.451430980673655,0.619805769,0.619805769
"64","nsga3","hbase-0.95.0",3.66880025463643e-18,1,0.640175281847744,0.639825755206398
"65","DFDP","hbase-0.95.0",0.411030176899063,0.00554247134645479,0.622988618443533,0.624804174626498
"66","RF","hbase-0.95.0",0.464516129032258,0.0299213690490441,0.614856654662889,0.613545770250273
"67","LR","hbase-0.95.0",-0.354838709677419,0.0955253387179859,0.656116280084339,0.656116280084339
"68","DT","hbase-0.95.0",-0.354838709677419,0.0955253387179859,0.653894773909789,0.653894773909789
"69","NB","hbase-0.95.0",1,2.29482375090894e-06,0.101556164929025,0.101556164929025
"70","FFT","hbase-0.95.0",-0.225806451612903,0.291323770862322,0.643679946,0.643679946
"71","nsga3","hive-0.10.0",-1.82915398777393e-18,1,0.711734669900502,0.716141437657072
"72","DFDP","hive-0.10.0",0.392299687825182,0.0080864279425769,0.706608476672153,0.707657599085588
"73","RF","hive-0.10.0",0.167741935483871,0.437842436010756,0.705695683901917,0.703254033694665
"74","LR","hive-0.10.0",1,2.19067141966933e-06,0.274424989905769,0.274424989905769
"75","DT","hive-0.10.0",0.961290322580645,6.18060713130427e-06,0.692298339666561,0.694171023634199
"76","NB","hive-0.10.0",1,2.19067141966933e-06,0.0683648171177785,0.0683648171177785
"77","FFT","hive-0.10.0",0.483870967741935,0.0224177253313038,0.707913553,0.707913553
"78","nsga3","hive-0.9.0",3.66880025463643e-18,1,0.758427640447138,0.762361993575595
"79","DFDP","hive-0.9.0",0.983350676378772,2.9995442518578e-11,0.694901161099794,0.693944322744151
"80","RF","hive-0.9.0",0.961290322580645,6.43913504429781e-06,0.701891712547007,0.70185029983583
"81","LR","hive-0.9.0",1,2.26899188578855e-06,0.703007576900271,0.703007576900271
"82","DT","hive-0.9.0",1,2.3762180855102e-06,0.660644443203178,0.660649103965697
"83","NB","hive-0.9.0",1,2.26899188578855e-06,0.425596741887438,0.425596741887438
"84","FFT","hive-0.9.0",0.354838709677419,0.0953641270658481,0.74751625,0.74751625
"85","nsga3","jruby-1.1",3.66880025463643e-18,1,0.600088455483856,0.613139339484966
"86","DFDP","jruby-1.1",0.947970863683663,1.46963107545739e-10,0.549325876535987,0.547900476157741
"87","RF","jruby-1.1",1,2.6508383512547e-06,0.545536696396054,0.545398595094189
"88","LR","jruby-1.1",-0.0645161290322581,0.770621081348675,0.617213399848368,0.617213399848368
"89","DT","jruby-1.1",0.935483870967742,1.11808011879701e-05,0.553923349165308,0.555617122631896
"90","NB","jruby-1.1",1,2.24340222088482e-06,0.21068637747113,0.21068637747113
"91","FFT","jruby-1.1",0.67741935483871,0.00137730408657709,0.56516337,0.56516337
"92","nsga3","jruby-1.4.0",7.23967257111289e-18,1,0.755554431882357,0.756327597857561
"93","DFDP","jruby-1.4.0",0.0114464099895942,0.943851316419266,0.755273463708772,0.755635588524365
"94","RF","jruby-1.4.0",-0.135483870967742,0.53302908544767,0.757278554690601,0.763711271857995
"95","LR","jruby-1.4.0",0.419354838709677,0.0481997238174046,0.73890374788196,0.73890374788196
"96","DT","jruby-1.4.0",0.387096774193548,0.0703356026593989,0.749869100401965,0.750980164497498
"97","NB","jruby-1.4.0",1,2.22034757405716e-06,0.311303628440828,0.311303628440828
"98","FFT","jruby-1.4.0",-1,2.22034757405716e-06,0.8181726,0.8181726
"99","nsga3","jruby-1.5.0",-3.66880025463643e-18,1,0.686068025145783,0.678385363079721
"100","DFDP","jruby-1.5.0",0.941727367325702,1.75965773748408e-10,0.628954228897934,0.629762377304258
"101","RF","jruby-1.5.0",0.883870967741936,2.87023061596382e-05,0.651899640779884,0.654561818629143
"102","LR","jruby-1.5.0",1,1.83982439072252e-06,0.316074195837542,0.316074195837542
"103","DT","jruby-1.5.0",-0.92258064516129,1.21759929641862e-05,0.745464825384952,0.776608547749999
"104","NB","jruby-1.5.0",1,1.83982439072252e-06,0.335796961338626,0.335796961338626
"105","FFT","jruby-1.5.0",-0.935483870967742,8.13836577371109e-06,0.75506355,0.75506355
"106","nsga3","lucene-2.3.0",1.06776426858008e-17,1,0.661685852613555,0.661983652389223
"107","DFDP","lucene-2.3.0",-1,5.92553500473863e-12,0.693616943049687,0.693590506463887
"108","RF","lucene-2.3.0",-1,5.46969736742202e-07,0.699584031729767,0.70120405399067
"109","LR","lucene-2.3.0",1,4.40369393586879e-07,0,0
"110","DT","lucene-2.3.0",1,4.40369393586879e-07,0.584058494233213,0.584058494233213
"111","NB","lucene-2.3.0",1,4.40369393586879e-07,0.120657982765021,0.120657982765021
"112","FFT","lucene-2.3.0",-1,4.40369393586879e-07,0.666516115,0.666516115
"113","nsga3","lucene-2.9.0",3.66880025463643e-18,1,0.745709275817235,0.749884913754388
"114","DFDP","lucene-2.9.0",-1,1.31627341227536e-11,0.834915334378941,0.834259078614391
"115","RF","lucene-2.9.0",-1,2.45001464464032e-06,0.846980328780012,0.847204154588627
"116","LR","lucene-2.9.0",1,2.066579899191e-06,0.0820031936605919,0.0820031936605919
"117","DT","lucene-2.9.0",0.987096774193548,3.22160058527042e-06,0.704254314526906,0.704310804161548
"118","NB","lucene-2.9.0",1,2.066579899191e-06,0.0817365159018099,0.0817365159018099
"119","FFT","lucene-2.9.0",0.935483870967742,9.01405941887587e-06,0.712838132,0.712838132
"120","nsga3","lucene-3.0.0",-1.25102940999376e-17,1,0.623477245747235,0.63208257523888
"121","DFDP","lucene-3.0.0",1,1.29239024023439e-11,0.369952236415357,0.366068324430576
"122","RF","lucene-3.0.0",1,2.37136471279039e-06,0.357387368749237,0.360134639257883
"123","LR","lucene-3.0.0",1,1.99833786697533e-06,0.423018652682755,0.423018652682755
"124","DT","lucene-3.0.0",1,2.34962632364481e-06,0.528227527914491,0.533217869051934
"125","NB","lucene-3.0.0",1,1.99833786697533e-06,0.073496890952929,0.073496890952929
"126","FFT","lucene-3.0.0",1,1.99833786697533e-06,0.549584691,0.549584691
"127","nsga3","wicket-1.3.0-beta2",3.66880025463643e-18,1,0.74356773415342,0.741384185989714
"128","DFDP","wicket-1.3.0-beta2",1,1.32640862006293e-11,0.357660225671434,0.362332084827409
"129","RF","wicket-1.3.0-beta2",1,2.48006121340697e-06,0.39567309116161,0.408307164720913
"130","LR","wicket-1.3.0-beta2",1,2.09266582539189e-06,0.193952828616899,0.193952828616899
"131","DT","wicket-1.3.0-beta2",1,2.45999639792537e-06,0.546950902369874,0.550921176960007
"132","NB","wicket-1.3.0-beta2",1,2.09266582539189e-06,0.616076760460125,0.616076760460125
"133","FFT","wicket-1.3.0-beta2",-1,2.09266582539189e-06,0.758827282,0.758827282
"134","nsga3","wicket-1.3.0-incubating-beta-1",0,1,0.696176642925019,0.695080049957611
"135","DFDP","wicket-1.3.0-incubating-beta-1",1,9.92316723503555e-12,0.603176471417517,0.602939241903135
"136","RF","wicket-1.3.0-incubating-beta-1",1,1.48552600204723e-06,0.590228341324779,0.590974632086942
"137","LR","wicket-1.3.0-incubating-beta-1",1,1.23733544474191e-06,0.510223336792893,0.510223336792893
"138","DT","wicket-1.3.0-incubating-beta-1",1,1.23733544474191e-06,0.625882014599075,0.625882014599075
"139","NB","wicket-1.3.0-incubating-beta-1",1,1.23733544474191e-06,0.614600105245937,0.614600105245937
"140","FFT","wicket-1.3.0-incubating-beta-1",-0.741935483870968,0.000325623612719542,0.713245543,0.713245543
"141","nsga3","all",-4.78324487861252e-20,1,0.682163935309768,0.702534179055725
"142","DFDP","all",0.465939278937381,3.0529670972539e-44,0.607979514289297,0.621847747369412
"143","RF","all",0.408044982698962,7.33309129280003e-18,0.619585589417629,0.647263943099965
"144","LR","all",0.689705882352941,5.57774739753639e-48,0.400331320645447,0.398340372563905
"145","DT","all",0.498235294117647,7.5511328148549e-26,0.612680526659943,0.625882014599075
"146","NB","all",0.77318339100346,7.80363686437922e-60,0.310990887267043,0.177465945670707
"147","FFT","all",0.126598465473146,0.0049410556421929,0.632063720086957,0.666516115
