"","algorithm","file_id","effect_size","p_value","mean","median"
"1","nsga3","activemq-5.0.0",-7.21169316021003e-18,1,0.328383299880066,0.394495412844037
"2","DFDP","activemq-5.0.0",0.556711758584807,0.000169128430437797,0.162457363847918,0.160463192721257
"3","RF","activemq-5.0.0",0.483870967741935,0.0234343449101383,0.269693206896247,0.275082231994435
"4","LR","activemq-5.0.0",1,2.19976718965051e-06,0.125850340136054,0.125850340136054
"5","DT","activemq-5.0.0",1,2.48762045813296e-06,0.118888479759794,0.120157215047726
"6","NB","activemq-5.0.0",0.483870967741935,0.0224415961481735,0.344554455445545,0.344554455445545
"7","FFT","activemq-5.0.0",1,2.19976718965051e-06,0.124649074,0.124649074
"8","nsga3","activemq-5.1.0",-1.25102940999376e-17,1,0.414708530977362,0.409566517189836
"9","DFDP","activemq-5.1.0",0.927159209157128,3.71777517919906e-10,0.379710118530482,0.378378378378378
"10","RF","activemq-5.1.0",0.941935483870968,9.9450108345513e-06,0.380471910729447,0.38195122833677
"11","LR","activemq-5.1.0",1,2.29482375090894e-06,0.286624203821656,0.286624203821656
"12","DT","activemq-5.1.0",1,2.68559955598864e-06,0.357470570589936,0.3543716321919
"13","NB","activemq-5.1.0",-0.741935483870968,0.000461582352537516,0.444015444015444,0.444015444015444
"14","FFT","activemq-5.1.0",-0.741935483870968,0.000461582352537516,0.432497013,0.432497013
"15","nsga3","activemq-5.2.0",-3.66880025463643e-18,1,0.415379426004244,0.416210295728368
"16","DFDP","activemq-5.2.0",-0.560874089490114,0.000121616634690991,0.422886448516179,0.421926910299003
"17","RF","activemq-5.2.0",-0.948387096774194,2.77831725580797e-06,0.430673376604787,0.430004777830865
"18","LR","activemq-5.2.0",0.806451612903226,5.9459753438808e-05,0.40672268907563,0.40672268907563
"19","DT","activemq-5.2.0",1,6.28000704045137e-07,0.367137355584082,0.367137355584082
"20","NB","activemq-5.2.0",1,6.28000704045137e-07,0.19463601532567,0.19463601532567
"21","FFT","activemq-5.2.0",1,6.28000704045137e-07,0.398763524,0.398763524
"22","nsga3","activemq-5.3.0",0,1,0.138062286582973,0.113623827909542
"23","DFDP","activemq-5.3.0",-1,6.59707677693217e-06,0.289789756773669,0.289855072463768
"24","RF","activemq-5.3.0",-1,0.000246655821094752,0.298155227730955,0.297727455716586
"25","LR","activemq-5.3.0",-1,7.19426615040365e-05,0.25462962962963,0.25462962962963
"26","DT","activemq-5.3.0",-1,0.000215120515919164,0.22106129757514,0.220720720720721
"27","NB","activemq-5.3.0",-1,7.19426615040365e-05,0.260346124905944,0.260346124905944
"28","FFT","activemq-5.3.0",-0.111111111111111,0.688098259323512,0.113623828,0.113623828
"29","nsga3","derby-10.2.1.6",-5.32549781389904e-18,1,0.594926727587551,0.622929936305732
"30","DFDP","derby-10.2.1.6",0.619047619047619,0.000162151056218466,0.52199723220504,0.521300961978928
"31","RF","derby-10.2.1.6",0.457142857142857,0.0386436010941377,0.56653823498813,0.560819105537508
"32","LR","derby-10.2.1.6",1,3.62101436637653e-06,0.465391304347826,0.465391304347826
"33","DT","derby-10.2.1.6",0.619047619047619,0.00424974989498291,0.486577181208054,0.486577181208054
"34","NB","derby-10.2.1.6",1,3.62101436637653e-06,0.0319767441860465,0.0319767441860465
"35","FFT","derby-10.2.1.6",1,3.62101436637653e-06,0.470739,0.470739
"36","nsga3","derby-10.3.1.4",3.66880025463643e-18,1,0.405174014461323,0.409385113268608
"37","DFDP","derby-10.3.1.4",-0.966701352757544,6.45213948950762e-11,0.48750793533976,0.48642266824085
"38","RF","derby-10.3.1.4",-0.980645161290323,4.21749777342053e-06,0.490229794411061,0.490579909934749
"39","LR","derby-10.3.1.4",1,2.29482375090894e-06,0.250081619327457,0.250081619327457
"40","DT","derby-10.3.1.4",-0.741935483870968,0.000461582352537516,0.445378151260504,0.445378151260504
"41","NB","derby-10.3.1.4",1,2.29482375090894e-06,0.04,0.04
"42","FFT","derby-10.3.1.4",1,2.29482375090894e-06,0.288350634,0.288350634
"43","nsga3","groovy-1_5_7",0,1,0.340979691280065,0.340659340659341
"44","DFDP","groovy-1_5_7",0.745007680491551,6.30128195043484e-06,0.2985423499802,0.294117647058823
"45","RF","groovy-1_5_7",0.857142857142857,0.000152927907908207,0.29085677466863,0.288659793814433
"46","LR","groovy-1_5_7",1,7.08009493150933e-06,0.206185567010309,0.206185567010309
"47","DT","groovy-1_5_7",0.152380952380952,0.510933675768145,0.338937836043099,0.330827067669173
