"","algorithm","file_id","effect_size","p_value","mean","median"
"1","nsga3","activemq-5.0.0_exp_0_train",3.66880025463643e-18,1,0.544500298960255,0.551329989851134
"2","NB","activemq-5.0.0_exp_0_train",-1,2.29718417358458e-06,0.665299936833002,0.665299936833002
"3","RF","activemq-5.0.0_exp_0_train",-0.0709677419354839,0.74986048004436,0.526474736130637,0.590434642002161
"4","LR","activemq-5.0.0_exp_0_train",-1,2.29718417358458e-06,0.670823591463003,0.670823591463003
"5","DT","activemq-5.0.0_exp_0_train",1,2.29718417358458e-06,0.347828214891741,0.347828214891741
"6","nsga3","activemq-5.1.0_exp_68_train",0,1,0.656474866502084,0.652607273558254
"7","NB","activemq-5.1.0_exp_68_train",-0.032258064516129,0.890550826937973,0.652674510771698,0.652674510771698
"8","RF","activemq-5.1.0_exp_68_train",-1,1.78396312202852e-09,0.742747653046633,0.746107344952373
"9","LR","activemq-5.1.0_exp_68_train",-1,2.30664605449215e-06,0.756636589143966,0.756636589143966
"10","DT","activemq-5.1.0_exp_68_train",-1,2.30664605449215e-06,0.735420888852766,0.735420888852766
"11","nsga3","activemq-5.2.0_exp_37_train",-1.82915398777393e-18,1,0.683186544511584,0.683730261809614
"12","NB","activemq-5.2.0_exp_37_train",-1,2.29482375090894e-06,0.718438908578086,0.718438908578086
"13","RF","activemq-5.2.0_exp_37_train",-1,2.70988568946211e-06,0.73624855659987,0.73357514843015
"14","LR","activemq-5.2.0_exp_37_train",-1,2.29482375090894e-06,0.74506004993094,0.74506004993094
"15","DT","activemq-5.2.0_exp_37_train",-1,2.29482375090894e-06,0.74220061659104,0.74220061659104
"16","nsga3","activemq-5.3.0_exp_32_train",3.66880025463643e-18,1,0.679413766544347,0.687796365824906
"17","NB","activemq-5.3.0_exp_32_train",-1,2.30427755305367e-06,0.753317267149019,0.753317267149019
"18","RF","activemq-5.3.0_exp_32_train",-0.929032258064516,1.32048373891399e-05,0.729897787515717,0.727289106073879
"19","LR","activemq-5.3.0_exp_32_train",-0.806451612903226,0.000140491080209,0.714887089580259,0.714887089580259
"20","DT","activemq-5.3.0_exp_32_train",0.032258064516129,0.89054602060808,0.686052748996507,0.686052748996507
"21","nsga3","groovy-1_5_7_exp_51_train",3.66880025463643e-18,1,0.507848871491248,0.510476136059286
"22","NB","groovy-1_5_7_exp_51_train",-0.741935483870968,0.000462119035502732,0.55852124112951,0.55852124112951
"23","RF","groovy-1_5_7_exp_51_train",0.654838709677419,0.00215993659033986,0.425559142834856,0.384987986541353
"24","LR","groovy-1_5_7_exp_51_train",-1,2.29954661394059e-06,0.673332347690962,0.673332347690962
"25","DT","groovy-1_5_7_exp_51_train",-1,2.59808859996294e-06,0.634091802181247,0.630437163951094
"26","nsga3","groovy-1_6_BETA_1_exp_53_train",-3.66880025463643e-18,1,0.642277453526489,0.645261721242217
"27","NB","groovy-1_6_BETA_1_exp_53_train",1,2.30427755305367e-06,0.0349476642880046,0.0349476642880046
"28","RF","groovy-1_6_BETA_1_exp_53_train",-0.580645161290323,0.00657593868469092,0.67956998440768,0.695372973862327
"29","LR","groovy-1_6_BETA_1_exp_53_train",1,2.30427755305367e-06,0.476502997709849,0.476502997709849
"30","DT","groovy-1_6_BETA_1_exp_53_train",-0.935483870967742,1.10432897442725e-05,0.708207743049008,0.704730720362773
"31","nsga3","hbase-0.94.0_exp_25_train",0,1,0.575664073226877,0.575202330160937
"32","NB","hbase-0.94.0_exp_25_train",1,2.30427755305367e-06,0.125260368620924,0.125260368620924
"33","RF","hbase-0.94.0_exp_25_train",0.283870967741935,0.186612444460946,0.549697716544058,0.55947327449772
"34","LR","hbase-0.94.0_exp_25_train",1,2.30427755305367e-06,0.0554791411566942,0.0554791411566942
"35","DT","hbase-0.94.0_exp_25_train",-0.161290322580645,0.453719719924481,0.582436871212963,0.582436871212963
"36","nsga3","hbase-0.95.0_exp_3_train",0,1,0.634504468918086,0.633891756210411
"37","NB","hbase-0.95.0_exp_3_train",1,2.30664605449215e-06,0.111249204770684,0.111249204770684
"38","RF","hbase-0.95.0_exp_3_train",-0.954838709677419,8.02783404912832e-08,0.681320833208827,0.683843383308286
"39","LR","hbase-0.95.0_exp_3_train",0.161290322580645,0.453739672112337,0.630991266676307,0.630991266676307
"40","DT","hbase-0.95.0_exp_3_train",0.67741935483871,0.00139566488145061,0.619837231705085,0.619837231705085
"41","nsga3","hive-0.10.0_exp_19_train",0,1,0.743251271927383,0.758240425104167
"42","NB","hive-0.10.0_exp_19_train",1,2.30664605449215e-06,0.0683788363565433,0.0683788363565433
"43","RF","hive-0.10.0_exp_19_train",0.870967741935484,4.33503038652929e-06,0.683777071059945,0.683832723587779
"44","LR","hive-0.10.0_exp_19_train",1,2.30664605449215e-06,0.240816185819296,0.240816185819296
"45","DT","hive-0.10.0_exp_19_train",1,2.30664605449215e-06,0.634297582712014,0.634297582712014
"46","nsga3","hive-0.9.0_exp_47_train",0,1,0.718951520694652,0.72325995730678
"47","NB","hive-0.9.0_exp_47_train",1,2.30664605449215e-06,0.41925540182574,0.41925540182574
"48","RF","hive-0.9.0_exp_47_train",0.241935483870968,0.261299109164785,0.700053005185847,0.697972802337841
"49","LR","hive-0.9.0_exp_47_train",0.0967741935483871,0.657475616894334,0.707034204265289,0.707034204265289
"50","DT","hive-0.9.0_exp_47_train",-0.67741935483871,0.00139566488145061,0.768636683713563,0.768636683713563
