"","algorithm","file_id","effect_size","p_value","mean","median"
"1","nsga3","activemq-5.0.0",-5.48046711059608e-18,1,0.606552688817916,0.702558705770196
"2","RF","activemq-5.0.0",0.483870967741935,0.0234222182140988,0.435491773333012,0.431192014446864
"3","LR","activemq-5.0.0",0.483870967741935,0.0224415961481735,0.639400858062927,0.639400858062927
"4","NB","activemq-5.0.0",0.419354838709677,0.0481103903131605,0.665299936833002,0.665299936833002
"5","DT","activemq-5.0.0",0.483870967741935,0.0230715337460431,0.498607562991578,0.463882307900691
"6","FFT","activemq-5.0.0",0.483870967741935,0.0224415961481735,0.485143876,0.485143876
"7","nsga3","activemq-5.1.0",1.82915398777393e-18,1,0.730665803498001,0.72522179699119
"8","RF","activemq-5.1.0",1,2.6882890720216e-06,0.359931475030284,0.360632101786885
"9","LR","activemq-5.1.0",1,2.29482375090894e-06,0.404996885776495,0.404996885776495
"10","NB","activemq-5.1.0",1,2.29482375090894e-06,0.652674510771698,0.652674510771698
"11","DT","activemq-5.1.0",1,2.60594509102823e-06,0.354247718840466,0.354247718840466
"12","FFT","activemq-5.1.0",1,2.29482375090894e-06,0.713356787,0.713356787
"13","nsga3","activemq-5.2.0",0,1,0.757010818629744,0.757669079828094
"14","RF","activemq-5.2.0",1,7.7133351936688e-07,0.572468061902876,0.579385519042241
"15","LR","activemq-5.2.0",1,6.28000704045137e-07,0,0
"16","NB","activemq-5.2.0",1,6.28000704045137e-07,0.718438908578086,0.718438908578086
"17","DT","activemq-5.2.0",1,6.28000704045137e-07,0.526348409823452,0.526348409823452
"18","FFT","activemq-5.2.0",1,6.28000704045137e-07,0.739044202,0.739044202
"19","nsga3","activemq-5.3.0",0,1,0.263189386317605,0
"20","RF","activemq-5.3.0",-0.555555555555556,0.043570597098054,0.582629676384235,0.581132754856883
"21","LR","activemq-5.3.0",-0.555555555555556,0.0288446936879702,0.644466466716217,0.644466466716217
"22","NB","activemq-5.3.0",-1,7.19426615040365e-05,0.753317267149019,0.753317267149019
"23","DT","activemq-5.3.0",-0.555555555555556,0.0288446936879702,0.620381023525905,0.620381023525905
"24","FFT","activemq-5.3.0",-1,7.19426615040365e-05,0.740275289,0.740275289
"25","nsga3","derby-10.2.1.6",-5.32549781389904e-18,1,0.678979262389635,0.731443353915545
"26","RF","derby-10.2.1.6",0.619047619047619,0.00498386724477869,0.693878625715395,0.692815423741988
"27","LR","derby-10.2.1.6",0.619047619047619,0.00424974989498291,0.617879997565164,0.617879997565164
"28","NB","derby-10.2.1.6",1,3.62101436637653e-06,0.121942122522039,0.121942122522039
"29","DT","derby-10.2.1.6",0.619047619047619,0.00424974989498291,0.673010402135031,0.673010402135031
"30","FFT","derby-10.2.1.6",0.619047619047619,0.00424974989498291,0.717031497,0.717031497
"31","nsga3","derby-10.3.1.4",7.21169316021003e-18,1,0.658879929566402,0.660587172439003
"32","RF","derby-10.3.1.4",0.574193548387097,0.00720230888653203,0.631772683095126,0.624839428119629
"33","LR","derby-10.3.1.4",-0.290322580645161,0.17348728921803,0.669605117628356,0.669605117628356
"34","NB","derby-10.3.1.4",1,2.29482375090894e-06,0.144245513870284,0.144245513870284
"35","DT","derby-10.3.1.4",0.935483870967742,9.88388122675086e-06,0.58700079449314,0.58700079449314
"36","FFT","derby-10.3.1.4",1,2.29482375090894e-06,0.525272497,0.525272497
