"","algorithm","file_id","effect_size","p_value","mean","median"
"1","nsga3","activemq-5.0.0",0,NA,3,3
"2","DT","activemq-5.0.0",0,NA,3,3
"3","DT_SMOTE","activemq-5.0.0",-1,2.89773150672166e-10,8,8
"4","FFT","activemq-5.0.0",-1,1.7213066497735e-10,4,4
"5","FFT_SMOTE","activemq-5.0.0",-1,1.7213066497735e-10,5,5
"6","nsga3","activemq-5.1.0",0,NA,3,3
"7","DT","activemq-5.1.0",0,NA,3,3
"8","DT_SMOTE","activemq-5.1.0",-1,3.73198071593475e-10,9.6,10
"9","FFT","activemq-5.1.0",-1,1.7213066497735e-10,4,4
"10","FFT_SMOTE","activemq-5.1.0",-1,1.7213066497735e-10,5,5
"11","nsga3","activemq-5.2.0",0,NA,3,3
"12","DT","activemq-5.2.0",0,NA,3,3
"13","DT_SMOTE","activemq-5.2.0",-1,1.59379116880663e-05,8,8
"14","FFT","activemq-5.2.0",-1,9.35884195565616e-06,5,5
"15","FFT_SMOTE","activemq-5.2.0",0,NA,3,3
"16","nsga3","activemq-5.3.0",0,NA,3,3
"17","DT","activemq-5.3.0",-1,1.59379116880663e-05,5,5
"18","DT_SMOTE","activemq-5.3.0",-1,1.59379116880663e-05,9,9
"19","FFT","activemq-5.3.0",0,NA,3,3
"20","FFT_SMOTE","activemq-5.3.0",-1,9.35884195565616e-06,5,5
"21","nsga3","derby-10.2.1.6",0,NA,3,3
"22","DT","derby-10.2.1.6",0,NA,3,3
"23","DT_SMOTE","derby-10.2.1.6",-1,2.72270004296059e-05,5,5
"24","FFT","derby-10.2.1.6",-1,1.59697097090889e-05,5,5
"25","FFT_SMOTE","derby-10.2.1.6",0,NA,3,3
"26","nsga3","derby-10.3.1.4",0,NA,3,3
"27","DT","derby-10.3.1.4",-1,9.35884195565616e-06,5,5
"28","DT_SMOTE","derby-10.3.1.4",-1,9.35884195565616e-06,5,5
"29","FFT","derby-10.3.1.4",-1,5.5012722930809e-06,5,5
"30","FFT_SMOTE","derby-10.3.1.4",0,NA,3,3
"31","nsga3","groovy-1_5_7",0,NA,3,3
"32","DT","groovy-1_5_7",0.9,4.42217515694934e-07,2.1,2
"33","DT_SMOTE","groovy-1_5_7",-1,5.00469513679344e-08,8,8
"34","FFT","groovy-1_5_7",0,NA,3,3
"35","FFT_SMOTE","groovy-1_5_7",-1,2.96211233475159e-08,4,4
"36","nsga3","groovy-1_6_BETA_1",0,NA,3,3
"37","DT","groovy-1_6_BETA_1",0,NA,3,3
"38","DT_SMOTE","groovy-1_6_BETA_1",-1,4.0339029146775e-10,11.1,12
"39","FFT","groovy-1_6_BETA_1",-1,1.7213066497735e-10,4,4
"40","FFT_SMOTE","groovy-1_6_BETA_1",-1,1.7213066497735e-10,4,4
"41","nsga3","hbase-0.94.0",0,NA,3,3
"42","DT","hbase-0.94.0",1,1.59379116880663e-05,2,2
"43","DT_SMOTE","hbase-0.94.0",-1,1.59379116880663e-05,10,10
"44","FFT","hbase-0.94.0",-1,9.35884195565616e-06,5,5
"45","FFT_SMOTE","hbase-0.94.0",-1,9.35884195565616e-06,5,5
"46","nsga3","hbase-0.95.0",0,NA,3,3
"47","DT","hbase-0.95.0",-1,3.28993680586492e-05,4.6,4
"48","DT_SMOTE","hbase-0.95.0",-1,1.59379116880663e-05,9,9
"49","FFT","hbase-0.95.0",0,NA,3,3
"50","FFT_SMOTE","hbase-0.95.0",-1,9.35884195565616e-06,4,4
"51","nsga3","hive-0.10.0",0,NA,3,3
"52","DT","hive-0.10.0",1,2.89773150672166e-10,2,2
"53","DT_SMOTE","hive-0.10.0",-1,2.89773150672166e-10,10,10
"54","FFT","hive-0.10.0",-1,1.7213066497735e-10,5,5
"55","FFT_SMOTE","hive-0.10.0",0,NA,3,3
"56","nsga3","hive-0.9.0",0,NA,3,3
"57","DT","hive-0.9.0",-1,2.89773150672166e-10,5,5
"58","DT_SMOTE","hive-0.9.0",-1,3.73198071593475e-10,10.8,10
"59","FFT","hive-0.9.0",0,NA,3,3
"60","FFT_SMOTE","hive-0.9.0",0,NA,3,3
"61","nsga3","jruby-1.1",0,NA,3,3
"62","DT","jruby-1.1",0,NA,3,3
"63","DT_SMOTE","jruby-1.1",-1,2.89773150672166e-10,5,5
"64","FFT","jruby-1.1",-1,1.7213066497735e-10,4,4
"65","FFT_SMOTE","jruby-1.1",-1,1.7213066497735e-10,4,4
"66","nsga3","jruby-1.4.0",0,NA,3,3
"67","DT","jruby-1.4.0",1,2.89773150672166e-10,2,2
"68","DT_SMOTE","jruby-1.4.0",-1,4.0339029146775e-10,8.5,10
"69","FFT","jruby-1.4.0",0,NA,3,3
"70","FFT_SMOTE","jruby-1.4.0",-1,1.7213066497735e-10,4,4
"71","nsga3","jruby-1.5.0",0,NA,3,3
"72","DT","jruby-1.5.0",0,NA,3,3
"73","DT_SMOTE","jruby-1.5.0",-1,3.34349393530113e-10,5.5,5
"74","FFT","jruby-1.5.0",-1,1.7213066497735e-10,5,5
"75","FFT_SMOTE","jruby-1.5.0",-1,1.7213066497735e-10,4,4
"76","nsga3","lucene-2.3.0",0,NA,3,3
"77","DT","lucene-2.3.0",0,NA,3,3
"78","DT_SMOTE","lucene-2.3.0",-1,1.59379116880663e-05,9,9
"79","FFT","lucene-2.3.0",-1,9.35884195565616e-06,5,5
"80","FFT_SMOTE","lucene-2.3.0",-1,9.35884195565616e-06,4,4
"81","nsga3","lucene-2.9.0",0,NA,3,3
"82","DT","lucene-2.9.0",0,NA,3,3
"83","DT_SMOTE","lucene-2.9.0",-1,4.0339029146775e-10,10.3,10
"84","FFT","lucene-2.9.0",-1,1.7213066497735e-10,4,4
"85","FFT_SMOTE","lucene-2.9.0",-1,1.7213066497735e-10,4,4
"86","nsga3","lucene-3.0.0",0,NA,3,3
"87","DT","lucene-3.0.0",0,NA,3,3
"88","DT_SMOTE","lucene-3.0.0",-1,2.89773150672166e-10,10,10
"89","FFT","lucene-3.0.0",0,NA,3,3
"90","FFT_SMOTE","lucene-3.0.0",-1,1.7213066497735e-10,5,5
"91","nsga3","wicket-1.3.0-beta2",0,NA,3,3
"92","DT","wicket-1.3.0-beta2",0.8,5.12708049853737e-07,2.3,2
"93","DT_SMOTE","wicket-1.3.0-beta2",-1,4.29110078526516e-10,11.5,11.5
"94","FFT","wicket-1.3.0-beta2",0,NA,3,3
"95","FFT_SMOTE","wicket-1.3.0-beta2",-1,1.7213066497735e-10,5,5
"96","nsga3","wicket-1.3.0-incubating-beta-1",0,NA,3,3
"97","DT","wicket-1.3.0-incubating-beta-1",0,NA,3,3
"98","DT_SMOTE","wicket-1.3.0-incubating-beta-1",-1,2.89773150672166e-10,9,9
"99","FFT","wicket-1.3.0-incubating-beta-1",-1,1.7213066497735e-10,4,4
"100","FFT_SMOTE","wicket-1.3.0-incubating-beta-1",-1,1.7213066497735e-10,4,4
"101","nsga3","all",0,NA,3,3
"102","DT","all",0.035,0.226781407505703,3.15,3
"103","DT_SMOTE","all",-1,2.47821407583916e-140,8.615,9
"104","FFT","all",-0.65,1.59541187971541e-83,4,4
"105","FFT_SMOTE","all",-0.75,1.25929672638862e-99,4.05,4
