"","algorithm","file_id","effect_size","p_value","mean","median"
"1","nsga3","activemq-5.0.0_exp_0_train",-1.82915398777393e-18,1,9.90322580645161,9
"2","nsga3_NO_COMPLEXITY","activemq-5.0.0_exp_0_train",-0.909677419354839,1.21041750194371e-06,35.1,19.5
"3","nsga3","activemq-5.1.0_exp_68_train",-3.65481054918501e-18,1,10.6129032258065,9
"4","nsga3_NO_COMPLEXITY","activemq-5.1.0_exp_68_train",-0.741935483870968,0.000124451277942348,20.6,18
"5","nsga3","activemq-5.2.0_exp_37_train",1.6154612370034e-17,1,10.0322580645161,9
"6","nsga3_NO_COMPLEXITY","activemq-5.2.0_exp_37_train",-0.596774193548387,0.00260920089071337,52.7,30.5
"7","nsga3","activemq-5.3.0_exp_32_train",7.12076007477576e-18,1,9.25806451612903,9
"8","nsga3_NO_COMPLEXITY","activemq-5.3.0_exp_32_train",-0.874193548387097,3.02011187273767e-06,36.8,31.5
"9","nsga3","groovy-1_5_7_exp_51_train",-7.23267771838717e-18,1,9.32258064516129,9
"10","nsga3_NO_COMPLEXITY","groovy-1_5_7_exp_51_train",-0.674193548387097,0.00040362458807006,1167.5,31.5
"11","nsga3","groovy-1_6_BETA_1_exp_53_train",-1.82915398777393e-18,1,10.0322580645161,9
"12","nsga3_NO_COMPLEXITY","groovy-1_6_BETA_1_exp_53_train",-0.954838709677419,2.09618676912274e-07,40.8,25.5
"13","nsga3","hbase-0.94.0_exp_25_train",3.65481054918501e-18,1,12.5483870967742,9
"14","nsga3_NO_COMPLEXITY","hbase-0.94.0_exp_25_train",-0.92258064516129,1.30577353345164e-06,67.8,42
"15","nsga3","hbase-0.95.0_exp_3_train",0,1,13.1612903225806,9
"16","nsga3_NO_COMPLEXITY","hbase-0.95.0_exp_3_train",-0.47741935483871,0.0125274202282623,40.2,21
"17","nsga3","hive-0.10.0_exp_19_train",0,1,9.09677419354839,9
"18","nsga3_NO_COMPLEXITY","hive-0.10.0_exp_19_train",-0.4,0.0236950068945684,27,26
"19","nsga3","hive-0.9.0_exp_47_train",1.06846375385265e-17,1,9.45161290322581,9
"20","nsga3_NO_COMPLEXITY","hive-0.9.0_exp_47_train",-0.641935483870968,0.000616912358958439,50.6,32
"21","nsga3","jruby-1.1_exp_30_train",1.43254583822601e-17,1,9.29032258064516,9
"22","nsga3_NO_COMPLEXITY","jruby-1.1_exp_30_train",-0.738709677419355,0.000124045861463994,34.8,15
"23","nsga3","jruby-1.4.0_exp_41_train",5.42450828879038e-18,1,10,9
"24","nsga3_NO_COMPLEXITY","jruby-1.4.0_exp_41_train",-0.761290322580645,0.000123948073968426,94.7,61.5
"25","nsga3","jruby-1.5.0_exp_61_train",1.82915398777393e-18,1,9.2258064516129,9
"26","nsga3_NO_COMPLEXITY","jruby-1.5.0_exp_61_train",-0.0806451612903226,0.672473046647975,26.5,12
"27","nsga3","lucene-2.3.0_exp_57_train",-5.42450828879038e-18,1,10,9
"28","nsga3_NO_COMPLEXITY","lucene-2.3.0_exp_57_train",-0.632258064516129,0.00137312191413175,34.5,11
"29","nsga3","lucene-2.9.0_exp_11_train",5.42450828879038e-18,1,12.7741935483871,9
"30","nsga3_NO_COMPLEXITY","lucene-2.9.0_exp_11_train",-0.664516129032258,0.000812385713395942,18.7,19.5
"31","nsga3","lucene-3.0.0_exp_43_train",3.62683113828216e-18,1,10.6451612903226,9
"32","nsga3_NO_COMPLEXITY","lucene-3.0.0_exp_43_train",-0.67741935483871,0.000174048951148436,28.9,20
"33","nsga3","wicket-1.3.0-beta2_exp_51_train",0,1,10.6774193548387,9
"34","nsga3_NO_COMPLEXITY","wicket-1.3.0-beta2_exp_51_train",-0.587096774193548,0.00290356674018191,29.3,16.5
"35","nsga3","wicket-1.3.0-incubating-beta-1_exp_0_train",0,1,9.61290322580645,9
"36","nsga3_NO_COMPLEXITY","wicket-1.3.0-incubating-beta-1_exp_0_train",-0.52258064516129,0.0061726255924152,27.3,15
"37","nsga3","all",-7.83895657838834e-18,1,10.4145161290323,9
"38","nsga3_NO_COMPLEXITY","all",-0.670475806451613,1.55296875058891e-56,133.07,21
