"","algorithm","file_id","effect_size","p_value","mean","median"
"1","nsga3","activemq-5.0.0",-5.48046711059608e-18,1,0.606552688817916,0.702558705770196
"2","nsga3_NO_COMPLEXITY","activemq-5.0.0",0.0387096774193549,0.867098020230863,0.606156186696449,0.588959791791859
"3","nsga3","activemq-5.1.0",1.82915398777393e-18,1,0.730665803498001,0.72522179699119
"4","nsga3_NO_COMPLEXITY","activemq-5.1.0",0.516129032258065,0.0157715996528927,0.661842461002327,0.684730260087215
"5","nsga3","activemq-5.2.0",0,1,0.757010818629744,0.757669079828094
"6","nsga3_NO_COMPLEXITY","activemq-5.2.0",1,7.16311586082221e-07,0.646688133092204,0.6529739408113
"7","nsga3","activemq-5.3.0",0,1,0.263189386317605,0
"8","nsga3_NO_COMPLEXITY","activemq-5.3.0",-0.444444444444444,0.10251599124762,0.412753087903588,0.559493347942688
"9","nsga3","derby-10.2.1.6",-5.32549781389904e-18,1,0.678979262389635,0.731443353915545
"10","nsga3_NO_COMPLEXITY","derby-10.2.1.6",0.847619047619048,0.000116315521795448,0.517887004889988,0.434639810927029
"11","nsga3","derby-10.3.1.4",7.21169316021003e-18,1,0.658879929566402,0.660587172439003
"12","nsga3_NO_COMPLEXITY","derby-10.3.1.4",1,2.7125953493087e-06,0.475702311386065,0.485568582291848
"13","nsga3","groovy-1_5_7",0,1,0.654189673594678,0.642363431408009
"14","nsga3_NO_COMPLEXITY","groovy-1_5_7",0.247619047619048,0.280982341710572,0.624195801581113,0.620737318305783
"15","nsga3","groovy-1_6_BETA_1",-8.85898097711543e-18,1,0.73280985510597,0.73612756614769
"16","nsga3_NO_COMPLEXITY","groovy-1_6_BETA_1",-0.238709677419355,0.263809550673776,0.736004965256862,0.736392980818708
"17","nsga3","hbase-0.94.0",-8.85898097711543e-18,1,0.630947986370287,0.640731497570498
"18","nsga3_NO_COMPLEXITY","hbase-0.94.0",1,2.41288206449381e-06,0.429928594652888,0.418237425450381
"19","nsga3","hbase-0.95.0",3.66880025463643e-18,1,0.640175281847744,0.639825755206398
"20","nsga3_NO_COMPLEXITY","hbase-0.95.0",0.619354838709677,0.00372378914849572,0.494945987103406,0.473923200681996
"21","nsga3","hive-0.10.0",-1.82915398777393e-18,1,0.711734669900502,0.716141437657072
"22","nsga3_NO_COMPLEXITY","hive-0.10.0",0.27741935483871,0.195987000344373,0.604844120747333,0.700321636956666
"23","nsga3","hive-0.9.0",3.66880025463643e-18,1,0.758427640447138,0.762361993575595
"24","nsga3_NO_COMPLEXITY","hive-0.9.0",0.535483870967742,0.012183354593733,0.745673099972014,0.747422475963477
"25","nsga3","jruby-1.1",3.66880025463643e-18,1,0.600088455483856,0.613139339484966
"26","nsga3_NO_COMPLEXITY","jruby-1.1",-0.432258064516129,0.0432456980201037,0.624652102890804,0.640516795661849
"27","nsga3","jruby-1.4.0",7.23967257111289e-18,1,0.755554431882357,0.756327597857561
"28","nsga3_NO_COMPLEXITY","jruby-1.4.0",-1,2.41042327159283e-06,0.808224098624317,0.809738673169494
"29","nsga3","jruby-1.5.0",-3.66880025463643e-18,1,0.686068025145783,0.678385363079721
"30","nsga3_NO_COMPLEXITY","jruby-1.5.0",-0.793548387096774,0.000167229275492175,0.711012716415461,0.692127237732514
"31","nsga3","lucene-2.3.0",1.06776426858008e-17,1,0.661685852613555,0.661983652389223
"32","nsga3_NO_COMPLEXITY","lucene-2.3.0",0.470967741935484,0.0179421935666001,0.639035648606669,0.660954454340785
"33","nsga3","lucene-2.9.0",3.66880025463643e-18,1,0.745709275817235,0.749884913754388
"34","nsga3_NO_COMPLEXITY","lucene-2.9.0",0.603225806451613,0.0045433422982009,0.68138625348263,0.722853970316212
"35","nsga3","lucene-3.0.0",-1.25102940999376e-17,1,0.623477245747235,0.63208257523888
"36","nsga3_NO_COMPLEXITY","lucene-3.0.0",-0.387096774193548,0.0691701701138601,0.641062883979697,0.653325250519326
"37","nsga3","wicket-1.3.0-beta2",3.66880025463643e-18,1,0.74356773415342,0.741384185989714
"38","nsga3_NO_COMPLEXITY","wicket-1.3.0-beta2",-0.464516129032258,0.028883355260945,0.750582528326691,0.753709559863518
"39","nsga3","wicket-1.3.0-incubating-beta-1",0,1,0.696176642925019,0.695080049957611
"40","nsga3_NO_COMPLEXITY","wicket-1.3.0-incubating-beta-1",-0.180645161290323,0.391603164905365,0.666471179618172,0.714004762051129
"41","nsga3","all",-4.78324487861252e-20,1,0.682163935309768,0.702534179055725
"42","nsga3_NO_COMPLEXITY","all",0.213676470588235,6.53144186070185e-06,0.623952458311434,0.663003235005275
