"","algorithm","file_id","effect_size","p_value","mean","median"
"1","nsga3","activemq-5.0.0",-7.21169316021003e-18,1,0.328383299880066,0.394495412844037
"2","nsga3_NO_COMPLEXITY","activemq-5.0.0",0.425806451612903,0.0462685027076715,0.338187002017431,0.325071399428805
"3","nsga3","activemq-5.1.0",-1.25102940999376e-17,1,0.414708530977362,0.409566517189836
"4","nsga3_NO_COMPLEXITY","activemq-5.1.0",0.554838709677419,0.00942175265386273,0.327031838497247,0.307618837704798
"5","nsga3","activemq-5.2.0",-3.66880025463643e-18,1,0.415379426004244,0.416210295728368
"6","nsga3_NO_COMPLEXITY","activemq-5.2.0",1,7.16311586082221e-07,0.391711286758457,0.393081761006289
"7","nsga3","activemq-5.3.0",0,1,0.138062286582973,0.113623827909542
"8","nsga3_NO_COMPLEXITY","activemq-5.3.0",-0.311111111111111,0.258314538739369,0.202634027697313,0.224970299263563
"9","nsga3","derby-10.2.1.6",-5.32549781389904e-18,1,0.594926727587551,0.622929936305732
"10","nsga3_NO_COMPLEXITY","derby-10.2.1.6",0.619047619047619,0.00497457205302419,0.535310452794442,0.508060285604676
"11","nsga3","derby-10.3.1.4",3.66880025463643e-18,1,0.405174014461323,0.409385113268608
"12","nsga3_NO_COMPLEXITY","derby-10.3.1.4",1,2.7125953493087e-06,0.293202428445465,0.294771546216372
"13","nsga3","groovy-1_5_7",0,1,0.340979691280065,0.340659340659341
"14","nsga3_NO_COMPLEXITY","groovy-1_5_7",0.266666666666667,0.244962089490779,0.322694509758194,0.310011507479862
"15","nsga3","groovy-1_6_BETA_1",-5.48046711059608e-18,1,0.420978168936764,0.42152466367713
"16","nsga3_NO_COMPLEXITY","groovy-1_6_BETA_1",1,2.24571859236751e-06,0.372184531886024,0.373134328358209
"17","nsga3","hbase-0.94.0",-5.48046711059608e-18,1,0.478458251071322,0.486202365308804
"18","nsga3_NO_COMPLEXITY","hbase-0.94.0",1,2.41288206449381e-06,0.299399265422522,0.28936170212766
"19","nsga3","hbase-0.95.0",7.21169316021003e-18,1,0.48720422523625,0.489530685920578
"20","nsga3_NO_COMPLEXITY","hbase-0.95.0",0.651612903225806,0.00226924132346124,0.355555819662833,0.347692307692308
"21","nsga3","hive-0.10.0",-1.82915398777393e-18,1,0.260263633106895,0.262694651320244
"22","nsga3_NO_COMPLEXITY","hive-0.10.0",0.238709677419355,0.266775631602411,0.229979297027817,0.254879173594062
"23","nsga3","hive-0.9.0",-8.85898097711543e-18,1,0.415373975840904,0.423963133640553
"24","nsga3_NO_COMPLEXITY","hive-0.9.0",0.529032258064516,0.0132713568748054,0.391965289174299,0.391749265785609
"25","nsga3","jruby-1.1",-3.66880025463643e-18,1,0.46658839093404,0.48
"26","nsga3_NO_COMPLEXITY","jruby-1.1",0.0354838709677419,0.879197760617907,0.473401271824785,0.46980056980057
"27","nsga3","jruby-1.4.0",-3.66880025463643e-18,1,0.297382935075645,0.30316742081448
"28","nsga3_NO_COMPLEXITY","jruby-1.4.0",-0.987096774193548,3.24734869625154e-06,0.328419744719304,0.330396475770925
"29","nsga3","jruby-1.5.0",-7.26065712929002e-18,1,0.182763896133506,0.171683389074693
"30","nsga3_NO_COMPLEXITY","jruby-1.5.0",-0.767741935483871,0.000271501010634534,0.196522562143734,0.178743961352657
"31","nsga3","lucene-2.3.0",2.50170907735123e-17,1,0.43807631678784,0.438116100766703
"32","nsga3_NO_COMPLEXITY","lucene-2.3.0",0.438709677419355,0.0275538445583576,0.418883842348077,0.437703141928494
"33","nsga3","lucene-2.9.0",-3.66880025463643e-18,1,0.377168365975922,0.379501385041551
"34","nsga3_NO_COMPLEXITY","lucene-2.9.0",0.616129032258064,0.00374627128151186,0.337090266999496,0.355166980347529
"35","nsga3","lucene-3.0.0",1.80082483423479e-17,1,0.158108031446051,0.155425219941349
"36","nsga3_NO_COMPLEXITY","lucene-3.0.0",0.238709677419355,0.26492826112837,0.146949734605847,0.143297466489324
"37","nsga3","wicket-1.3.0-beta2",5.47347225787037e-18,1,0.213755284085135,0.209039548022599
"38","nsga3_NO_COMPLEXITY","wicket-1.3.0-beta2",1,2.34001810566923e-06,0.173095723403393,0.174927113702624
"39","nsga3","wicket-1.3.0-incubating-beta-1",-1.82915398777393e-18,1,0.341938842698262,0.338747099767981
"40","nsga3_NO_COMPLEXITY","wicket-1.3.0-incubating-beta-1",0.2,0.342024199751629,0.336133373016666,0.33201581027668
"41","nsga3","all",9.39954513204994e-19,1,0.363407385162049,0.393458021295023
"42","nsga3_NO_COMPLEXITY","all",0.243096885813149,2.90996833766428e-07,0.323517613410167,0.330396475770925
