"","algorithm","file_id","effect_size","p_value","mean","median"
"1","nsga3","activemq-5.0.0",-7.21169316021003e-18,1,0.250100687145059,0.345313782097947
"2","MEG","activemq-5.0.0",0.428571428571429,0.0824703504547908,0.254836377285714,0.287146561
"3","MOLR","activemq-5.0.0",0.483870967741935,0.0224415961481735,0.113578658,0.113578658
"4","nsga3","activemq-5.1.0",-7.21169316021003e-18,1,0.347431547575528,0.340247017012552
"5","MEG","activemq-5.1.0",-0.0783410138248848,0.76316556314296,0.318100946571429,0.347421102
"6","MOLR","activemq-5.1.0",1,2.29482375090894e-06,0.292200387,0.292200387
"7","nsga3","activemq-5.2.0",0,1,0.358406819233557,0.359404592748872
"8","MEG","activemq-5.2.0",0.926267281105991,5.69277478581551e-05,0.316655871714286,0.333343984
"9","MOLR","activemq-5.2.0",1,6.28000704045137e-07,0.315695362,0.315695362
"10","nsga3","activemq-5.3.0",0,1,-0.480654062008037,-1
"11","MEG","activemq-5.3.0",-1,2.4998253605158e-06,0.292715733511235,0.306444319570722
"12","MOLR","activemq-5.3.0",-0.111111111111111,0.688098259323512,0.064296072,0.064296072
"13","nsga3","derby-10.2.1.6",-5.32549781389904e-18,1,0.37332895949414,0.432869886409411
"14","MEG","derby-10.2.1.6",0.619047619047619,0.0186593140448181,0.3864260685,0.3839369555
"15","MOLR","derby-10.2.1.6",0.619047619047619,0.00424974989498291,0.140224356,0.140224356
"16","nsga3","derby-10.3.1.4",7.21169316021003e-18,1,0.292621217363653,0.30175338895712
"17","MEG","derby-10.3.1.4",-0.868817204301075,2.45515901913182e-09,0.37789555045171,0.388826861801083
"18","MOLR","derby-10.3.1.4",0.935483870967742,9.88388122675086e-06,0.210636976,0.210636976
"19","nsga3","groovy-1_5_7",0,1,0.27678944202565,0.272573041109845
"20","MEG","groovy-1_5_7",-0.53968253968254,0.0506943658139572,0.3030866335,0.328460728
"21","MOLR","groovy-1_5_7",0.80952380952381,0.000281567059828283,0.229671145,0.229671145
"22","nsga3","groovy-1_6_BETA_1",0,1,0.371239177962974,0.372413740548488
"23","MEG","groovy-1_6_BETA_1",1,8.9184499477201e-13,0.198801078037394,0.198801078037394
